1. Anillos de crecimiento visibles,2. Anillos de crecimiento poco visibles o ausentes,3. Anillos porosos,4. Anillos semiporosos,5. Anillos con poros difusos,6. Vasos (poros) en bandas tangenciales,7. Vasos (poros) en patrones radiales o diagonales,8. Vasos (poros) en patrones dendríticos,9. Vasos (poros) exclusivamente solitarios (90% o más),10. Vasos (poros) en grupos radiales de 4 o más,11. Vasos (poros) en grupos comunes (de 3 o más vasos),12. Perfil angular de vasos solitarios,56. Tilosis común,57. Tilosis esclerótica,58. Gomas y otros depósitos en vasos del duramen.,75. Parénquima axial ausente o extremadamente raro.,76. Parénquima axial difuso ,77. Parénquima axial difuso en agregados.,78. Parénquima axial paratraqueal escaso,79. Parénquima axial vasicéntrico,80. Parénquima axial aliforme,81. Parénquima axial adiamantado aliforme,82. Parénquima axial alado aliforme,83. Parénquima axial confluente,84. Parénquima axial unilateral paratraqueal,85. Parénquima axial en bandas con más tres células de ancho,86. Parénquima axial en bandas finas o líneas de hasta tres células de ancho,87. Parénquima axial reticulado,88. Parénquima axial escaliforme,89. Parénquima axial marginal o en bandas aparentemente marginales,90. Células de parénquima fusiforme,91. Dos células por hebra de parénquima,92. Cuatro (3-4) células por hebra de parénquima,93. Ocho (5-8) células por hebra de parénquima,94. Más de ocho células por hebra de parénquima,95. Parénquima no lignificado,96. Radios exclusivamente uniseriados,97. Radios con ancho de 1a 3 series,98. Radios comunmente de 4 a 10 series,99. Radios comunmente mayores a 10 series,100. Radios con porciones multiseriadas y porciones uniseriadas.,101. Radios agregados,102. Radios de altura mayor a 1mm,103. Radios de dos tamaños distintos,104. Todas las células procumbentes,105. Todas las células verticales y/o cuadradas,106. Cuerpo del radio con células procumbentes y una sóla fila de células verticales y/o cuadradas marginales,107. Cuerpo del radio con células procumbentes con 2-4 filas de células verticales y/o cuadradas marginales,108. Cuerpo del radio con células procumbentes con más de 4 filas de células verticales y/o cuadradas marginales,"109. Radios con una mezcla de células procumbentes, cuadradas y verticales",110. Calidad
1,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,Alta 
0,1,0,0,1,0,0,0,1,0,0,1,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,Baja 
0,1,0,0,1,0,0,0,1,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,Alta 
0,1,0,0,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,Alta 
1,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,Baja 
1,0,0,1,0,1,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,Baja 
1,0,0,1,0,0,0,1,1,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,Alta 
0,1,1,0,0,0,1,0,0,0,1,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,Alta 
0,1,0,0,1,0,1,0,0,1,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,Baja 
1,0,0,1,0,0,1,0,1,0,0,0,1,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,Alta 
0,1,0,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,Baja 
1,0,0,0,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,1,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,Alta 
0,1,0,0,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,1,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,Media
0,1,0,0,1,0,1,0,1,0,0,0,0,0,0,0,1,0,0,1,0,1,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,1,0,0,Alta 
1,0,0,0,1,0,1,0,1,0,0,0,0,0,0,1,1,0,0,0,1,0,0,1,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,1,Media
